批次ID,1
批次编号,S20260610014842
批次名称,2026年6月第一轮短信
批次类型,短信

指标,数值
目标户数,18
发送成功,15
发送失败,3
待发送,0
已联系,0
承诺付款,0
全部回款户数,1
部分回款户数,0
未回款户数,17
总欠费金额(元),12560.25
回款金额(元),301.25

成员ID,房号,业主,原尚欠,通知状态,联系状态,承诺状态,回款状态,已回款(元),备注
1,1-1-201,王强,275.00,发送成功,未联系,未承诺,未回款,0.00,
2,1-1-301,刘芳,942.00,发送成功,未联系,未承诺,未回款,0.00,
3,1-2-402,陈刚,221.25,发送成功,未联系,未承诺,未回款,0.00,
4,1-2-501,赵敏,262.50,发送失败,未联系,未承诺,未回款,0.00,
5,2-1-101,孙浩,375.00,发送成功,未联系,未承诺,未回款,0.00,
6,2-2-301,吴磊,560.00,发送成功,未联系,未承诺,未回款,0.00,
7,2-2-502,郑丽,287.50,发送成功,未联系,未承诺,未回款,0.00,
8,3-1-101,马超,1725.00,发送成功,未联系,未承诺,未回款,0.00,
9,3-2-401,林涛,300.00,发送成功,未联系,未承诺,未回款,0.00,
10,3-2-602,徐丹,716.25,发送失败,未联系,未承诺,未回款,0.00,
11,5-1-801,何军,4800.00,发送成功,未联系,未承诺,未回款,0.00,
12,5-1-902,罗雪,295.00,发送成功,未联系,未承诺,未回款,0.00,
13,5-2-1101,梁志,362.50,发送成功,未联系,未承诺,未回款,0.00,
14,5-2-1202,谢梅,320.00,发送成功,未联系,未承诺,未回款,0.00,
15,1-1-101,张伟,151.25,发送成功,未联系,未承诺,全部回款,301.25,
16,1-1-102,李娜,247.00,发送成功,未联系,未承诺,未回款,0.00,
17,2-1-101,孙浩,375.00,发送失败,未联系,未承诺,未回款,0.00,
18,3-1-101,马超,345.00,发送成功,未联系,未承诺,未回款,0.00,
