楼栋,房号,业主,账期,归档本金,归档滞纳金,归档已缴,归档减免,归档尚欠,缴费调整,减免调整,滞纳金调整,最终余额,当前余额,归档状态,当前状态
1栋,1-1-101,张伟,2026-01,301.25,0.00,301.25,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,已缴,已缴
1栋,1-1-101,张伟,2026-02,301.25,0.00,151.25,150.00,0.00,-0.00,-0.00,0.00,0.00,0.00,已缴,已缴
1栋,1-1-102,李娜,2026-01,247.00,0.00,247.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,已缴,已缴
1栋,1-1-102,李娜,2026-02,247.00,0.00,0.00,0.00,247.00,-0.00,-0.00,0.00,247.00,247.00,未缴,未缴
1栋,1-1-201,王强,2026-01,275.00,0.00,0.00,0.00,275.00,-0.00,-0.00,0.00,275.00,275.00,未缴,未缴
1栋,1-1-301,刘芳,2026-Q1,942.00,0.00,0.00,0.00,942.00,-0.00,-0.00,0.00,942.00,942.00,未缴,未缴
1栋,1-2-402,陈刚,2026-01,221.25,0.00,0.00,0.00,221.25,-0.00,-0.00,0.00,221.25,221.25,未缴,未缴
1栋,1-2-501,赵敏,2026-01,262.50,0.00,0.00,0.00,262.50,-0.00,-0.00,0.00,262.50,262.50,未缴,未缴
2栋,2-1-101,孙浩,2026-01,375.00,0.00,0.00,0.00,375.00,200.00,100.00,0.00,75.00,75.00,未缴,未缴
2栋,2-1-101,孙浩,2026-02,375.00,0.00,0.00,0.00,375.00,-0.00,-0.00,0.00,375.00,375.00,未缴,未缴
2栋,2-1-201,周婷,2026-Q1,996.00,0.00,996.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,已缴,已缴
2栋,2-2-301,吴磊,2026-01,560.00,0.00,0.00,0.00,560.00,-0.00,-0.00,0.00,560.00,560.00,未缴,未缴
2栋,2-2-502,郑丽,2026-01,287.50,0.00,0.00,0.00,287.50,-0.00,-0.00,0.00,287.50,287.50,未缴,未缴
3栋,3-1-101,马超,2025-H2,1725.00,0.00,2000.00,0.00,-275.00,-0.00,-0.00,0.00,-275.00,-275.00,未缴,未缴
3栋,3-1-101,马超,2026-01,345.00,0.00,0.00,0.00,345.00,-0.00,-0.00,0.00,345.00,345.00,未缴,未缴
3栋,3-1-202,黄燕,2026-01,270.00,0.00,2000.00,0.00,-1730.00,-0.00,-0.00,0.00,-1730.00,-1730.00,已缴,已缴
3栋,3-2-401,林涛,2026-01,300.00,0.00,0.00,0.00,300.00,-0.00,-0.00,0.00,300.00,300.00,未缴,未缴
3栋,3-2-602,徐丹,2026-Q1,716.25,0.00,0.00,0.00,716.25,-0.00,-0.00,0.00,716.25,716.25,未缴,未缴
5栋,5-1-801,何军,2025全年,4800.00,0.00,0.00,0.00,4800.00,-0.00,-0.00,0.00,4800.00,4800.00,未缴,未缴
5栋,5-1-902,罗雪,2026-01,295.00,0.00,0.00,0.00,295.00,-0.00,-0.00,0.00,295.00,295.00,未缴,未缴
5栋,5-2-1101,梁志,2026-01,362.50,0.00,0.00,0.00,362.50,-0.00,-0.00,0.00,362.50,362.50,未缴,未缴
5栋,5-2-1202,谢梅,2026-02,320.00,0.00,0.00,0.00,320.00,-0.00,-0.00,0.00,320.00,320.00,未缴,未缴
