批次,房号,业主,原尚欠(元),当前尚欠(元),已回款(元),通知状态,联系状态,承诺状态,回款状态
2026年6月第一轮短信,1-1-201,王强,275.00,275.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,1-1-301,刘芳,942.00,942.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,1-2-402,陈刚,221.25,221.25,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,1-2-501,赵敏,262.50,262.50,0.00,发送失败,未联系,未承诺,未回款
2026年6月第一轮短信,2-1-101,孙浩,375.00,375.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,2-2-301,吴磊,560.00,560.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,2-2-502,郑丽,287.50,287.50,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,3-1-101,马超,1725.00,-275.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,3-2-401,林涛,300.00,300.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,3-2-602,徐丹,716.25,716.25,0.00,发送失败,未联系,未承诺,未回款
2026年6月第一轮短信,5-1-801,何军,4800.00,4800.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,5-1-902,罗雪,295.00,295.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,5-2-1101,梁志,362.50,362.50,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,5-2-1202,谢梅,320.00,320.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,1-1-102,李娜,247.00,247.00,0.00,发送成功,未联系,未承诺,未回款
2026年6月第一轮短信,2-1-101,孙浩,375.00,375.00,0.00,发送失败,未联系,未承诺,未回款
2026年6月第一轮短信,3-1-101,马超,345.00,345.00,0.00,发送成功,未联系,未承诺,未回款
